case_number,id,source_parent,stratum,support,favored,goals,events,legal_actions,intervention_role,gold_disjoint_alternatives
1,initial-50828f97c22b78b218be-B,50828f97c22b78b218be1c635ee3469c891a0bd86c27952a78e1c2f857fafa6d,behavior_inference,want|neutral,undetermined,3,1,2,action_control,
2,initial-5a359aac3017f8edb0cd-B,5a359aac3017f8edb0cded4c71b8d1d246167047f6a2c0258d555c68130dca9e,behavior_inference,neutral|avoid,undetermined,3,1,2,action_control,
3,initial-7518b4f473810638fe2a-B,7518b4f473810638fe2ac9a7a4d1e47ece5a604a378c7fc416fdcb9a148bfd14,behavior_inference,neutral|avoid,undetermined,3,1,2,action_control,
4,initial-9507a37cb39a66935ec9-B,9507a37cb39a66935ec976fc91f5041d86109aa12fdea168288790fe5c25bab6,behavior_inference,neutral|avoid,avoid,3,1,2,action_control,
5,initial-a87de7848582944b0997-B,a87de7848582944b0997558a1008bf9d27ab9544c341c7976ff6c353b6b2f732,behavior_inference,neutral|avoid,neutral,3,1,2,action_control,
6,interaction-0524ffa3f232ff556a,v7-natural-760309,behavior_inference,want,want,4,2,10,repair_sensitive,avoid
7,interaction-1d41edf6c2038db46f,v7-natural-760312,behavior_inference,want|neutral,want,3,2,7,repair_sensitive,avoid
8,interaction-39031f569a12e956ab,v7-natural-760036,behavior_inference,neutral|avoid,avoid,3,2,9,repair_sensitive,want|neutral
9,interaction-43622c30a288d5d3de,v7-natural-760362,behavior_inference,want|neutral,want,3,2,12,repair_sensitive,avoid
10,interaction-5643d23864d1448a8e,v7-natural-760294,behavior_inference,want,want,4,2,10,repair_sensitive,neutral|avoid
11,interaction-6dbef4014838e255bf,v7-natural-760186,behavior_inference,neutral|avoid,avoid,3,2,9,repair_sensitive,want|neutral
12,interaction-8ac7623f483468afc1,v7-natural-760360,behavior_inference,want|neutral|avoid,want,3,2,7,repair_sensitive,avoid
13,interaction-a8c4c40416d1916277,v7-natural-760180,behavior_inference,neutral|avoid,undetermined,3,2,9,repair_sensitive,want|neutral
14,interaction-a9fb5e6950cb7666b6,v7-natural-760164,behavior_inference,want|neutral|avoid,undetermined,4,2,13,repair_sensitive,want
15,interaction-ad3b478f79cea51e49,v7-natural-760041,behavior_inference,want,want,3,2,7,repair_sensitive,avoid
16,interaction-adab156f23c9f225f8,v7-natural-760084,behavior_inference,neutral|avoid,avoid,4,2,10,repair_sensitive,want|neutral
17,interaction-bde9b3e508bd51265e,v7-natural-760350,behavior_inference,want|neutral,want,4,2,8,repair_sensitive,avoid
18,interaction-ccdb7b6aea50229e08,v7-natural-760218,behavior_inference,want|neutral|avoid,undetermined,4,1,13,repair_sensitive,want
19,interaction-efaa37ee4347e4cda4,v7-natural-760256,behavior_inference,avoid,avoid,4,2,10,repair_sensitive,want
20,initial-6f1f05b66f2ec8106dd2-B-feedback-want,6f1f05b66f2ec8106dd215dbfccda98e3e591288918ae15889e54420fb679039,direct_feedback,neutral,neutral,6,1,9,repair_sensitive,avoid
21,initial-b0c54619fc96728288c0-B-feedback-want,b0c54619fc96728288c08ab876b16a0b0b2546a02d29b98025744926eda4faaa,direct_feedback,avoid,avoid,6,1,9,repair_sensitive,want|neutral
22,initial-03a06b6c8ef099da178a-B,03a06b6c8ef099da178a0aaabb5f2af4ba58d04c6988a08d16a72a1f9f277c71,initial_information_control,want|neutral|avoid,avoid,4,0,12,action_control,
23,initial-07d99545067e378f42be-B,07d99545067e378f42bebe2cc8c3bdb2bad6050fa40e1f448b30e77f13447c6f,initial_information_control,want|neutral|avoid,want,3,0,17,action_control,
24,initial-0c489995ac282a1f8b3b-B,0c489995ac282a1f8b3bb290b6da2313ce3f600c8a4cfedf69641bcc6684c1ef,initial_information_control,want|neutral|avoid,avoid,3,0,17,action_control,
25,initial-2efb6bcbea0414cbd56a-B,2efb6bcbea0414cbd56aaa3105fa337bb7814562e584dab0551a51314009dbee,initial_information_control,want|neutral|avoid,undetermined,4,0,12,action_control,
26,initial-30736313666de0b595fe-B,30736313666de0b595fef47462b7e7130759bc057dea23461ade4a5b2eabbd84,initial_information_control,want|neutral|avoid,neutral,3,0,17,action_control,
27,initial-3d292b9970298ec1f86b-B,3d292b9970298ec1f86b1c1adc0d6254a08765de2e163198fb763f23c36216bc,initial_information_control,want|neutral|avoid,neutral,4,0,12,action_control,
28,initial-48217a26c6552a6e90ca-B,48217a26c6552a6e90caaeaac3fdd8cf2585905b5e28f1b1c8cc04901cdbf219,initial_information_control,want|neutral|avoid,want,4,0,12,action_control,
29,initial-7fc5c933a479a702d174-B,7fc5c933a479a702d174fc9e700a69eb2f8a3862d0a2da7000a495dee2e24dac,initial_information_control,want|neutral|avoid,neutral,3,0,17,action_control,
30,initial-81b4180b97bdc4a6aea3-B,81b4180b97bdc4a6aea362b6b0ad31bdec0b258aa60ecfc8ad45c76ae074039d,initial_information_control,want|neutral|avoid,undetermined,4,0,12,action_control,
31,initial-adf49e530be2c4ab62f3-B,adf49e530be2c4ab62f33afe6ad617ad804eef34edad08ecc1e8a184965d6b85,initial_information_control,want|neutral|avoid,want,3,0,17,action_control,
32,initial-fccf530d3f91dfce9d17-B,fccf530d3f91dfce9d17a1fc930abc719f120a72ab433770bdec8b40e672d4a2,initial_information_control,want|neutral|avoid,avoid,3,0,17,action_control,
