case_id,structure_id,replica,checkpoint_hash,model,manifest_sha256,runtime_sha256,model_B_valid,model_B_P_valid,correct_B_P_valid,scoring_belief,reference_value,normalization,U_modelB_modelP,U_correctB_modelP,regret_modelB,regret_correctB,repair_gain,expected_repair_from_regrets,identity_residual,aggregation_weight_modelB_regret,aggregation_weight_correctB_regret,aggregation_weight_repair
binary-12042:preset,binary-12042,0,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.3333333333333333,raw terminal own utility; no normalization,1.3333333333333333,0.0,0.0,1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12042:preset,binary-12042,1,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.3333333333333333,raw terminal own utility; no normalization,1.3333333333333333,0.0,0.0,1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12042:preset,binary-12042,2,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.3333333333333333,raw terminal own utility; no normalization,1.3333333333333333,0.0,0.0,1.3333333333333333,-1.3333333333333333,-1.3333333333333333,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12042:voluntary,binary-12042,0,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.0,raw terminal own utility; no normalization,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12042:voluntary,binary-12042,1,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.0,raw terminal own utility; no normalization,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12042:voluntary,binary-12042,2,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,1.0,raw terminal own utility; no normalization,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12066:preset,binary-12066,0,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,2.3333333333333335,raw terminal own utility; no normalization,1.0,2.3333333333333335,1.3333333333333335,0.0,1.3333333333333335,1.3333333333333335,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12066:preset,binary-12066,1,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,2.3333333333333335,raw terminal own utility; no normalization,1.0,2.3333333333333335,1.3333333333333335,0.0,1.3333333333333335,1.3333333333333335,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12066:preset,binary-12066,2,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,2.3333333333333335,raw terminal own utility; no normalization,1.0,2.3333333333333335,1.3333333333333335,0.0,1.3333333333333335,1.3333333333333335,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12066:voluntary,binary-12066,0,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,2.0,raw terminal own utility; no normalization,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
binary-12066:voluntary,binary-12066,1,,Qwen/Qwen3-4B-Instruct-2507,04c9c120ce18534fade06857fab15c0b146274e33006d67329d985963ad83caf,abda84fd68718990412fca34fae463a5d31fdd541d83214d1203d7c27d1d0023,True,True,True,teacher_posterior,2.0,raw terminal own utility; no normalization,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.010416666666666666,0.010416666666666666,0.010416666666666666
