case_id,provenance,mode,goals,legal_actions,history_events,response,remaining_proposals,support,favored,likelihoods,private_results
binary-20358:voluntary,voluntary,binary,5,11,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.2]",0
binary-20358:preset,preset,binary,5,11,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-20796:voluntary,voluntary,binary,6,12,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.07692307692307693]",0
binary-20796:preset,preset,binary,6,12,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-20838:voluntary,voluntary,binary,6,15,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.16666666666666666]",0
binary-20838:preset,preset,binary,6,15,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-20908:voluntary,voluntary,binary,6,12,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.07692307692307693]",0
binary-20908:preset,preset,binary,6,12,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-20966:voluntary,voluntary,binary,7,16,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.2]",0
binary-20966:preset,preset,binary,7,16,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-21030:voluntary,voluntary,binary,7,16,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.2]",0
binary-21030:preset,preset,binary,7,16,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-21350:voluntary,voluntary,binary,6,15,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.2]",0
binary-21350:preset,preset,binary,6,15,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
binary-21598:voluntary,voluntary,binary,7,16,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.14285714285714285]",0
binary-21598:preset,preset,binary,7,16,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-12073:voluntary,voluntary,linear,6,15,2,REJECT,1,avoid,avoid,"[0.0, 0.0, 0.08333333333333333]",0
linear-12073:preset,preset,linear,6,15,2,REJECT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-12231:voluntary,voluntary,linear,5,11,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.3333333333333333]",0
linear-12231:preset,preset,linear,5,11,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-12921:voluntary,voluntary,linear,5,14,2,REJECT,1,avoid,avoid,"[0.0, 0.0, 0.09090909090909091]",0
linear-12921:preset,preset,linear,5,14,2,REJECT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-13027:voluntary,voluntary,linear,5,14,2,REJECT,1,avoid,avoid,"[0.0, 0.0, 0.09090909090909091]",0
linear-13027:preset,preset,linear,5,14,2,REJECT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-20241:voluntary,voluntary,linear,5,11,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.07692307692307693]",0
linear-20241:preset,preset,linear,5,11,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-20469:voluntary,voluntary,linear,6,15,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.3333333333333333]",0
linear-20469:preset,preset,linear,6,15,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-23037:voluntary,voluntary,linear,7,13,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.25]",0
linear-23037:preset,preset,linear,7,13,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
linear-26565:voluntary,voluntary,linear,7,16,2,ACCEPT,1,avoid,avoid,"[0.0, 0.0, 0.3333333333333333]",0
linear-26565:preset,preset,linear,7,16,2,ACCEPT,1,want|neutral|avoid,undetermined,"[1.0, 1.0, 1.0]",0
